,KODE,NAMA BAHAN,SUMBER,Food Group,Type,AIR (g),ENERGI (Kal),PROTEIN (g),LEMAK (g),KH (g),SERAT (g),ABU (g),KALSIUM (mg),FOSFOR (mg),BESI (mg),NATRIUM (mg),KALIUM (mg),TEMBAGA(mg),SENG (mg),RETINOL (mcg),B-KAR (mcg),KAR -TOTAL (mcg),THIAMIN (mg),RIBOFLAVIN (mg),NIASIN (mg),VIT_C (mg),Unnamed: 24
684,DR077,"Daun tespong, segar",DABM-1964,sayuran,single,81,70,2.9,0.3,13.9,2.3,1.9,155,65,2.5,72,,0.15,0.9,,171,2500,0.05,0.7,1.4,21,60
685,DR078,"Daun ubi kuning,
segar",KZGMI-2001,sayuran,single,83.5,62,3.7,0.3,11.1,6.4,1.4,170,40,0.6,10,0,0.2,0.5,,3564,,0.3,0.3,1.2,4,75
686,DR079,"Daun ubi merah, segar",KZGPI-1990,sayuran,single,84.4,48,3,0.3,10.8,1.4,1.5,80,81,6.4,33,517.3,0,0.4,0,5453,4697,0.1,0.2,1.2,27,75
687,DR080,"Daun ubi putih, segar",KZGMI-2001,sayuran,single,87.5,46,2.8,0.2,8.2,4.8,1.3,120,50,0.8,10,0,0.2,0.5,,103,,0.3,0.3,0.9,8,75
688,DR081,"Daun ubi tinta, segar",KZGMI-2001,sayuran,single,85.1,55,1.7,0.1,11.9,7.6,1.2,120,40,0.6,10,0,0.2,0.5,,516,,0.2,0,0,7,75
689,DR082,"Eceng, segar",DABM-1964,sayuran,single,93,19,1,0.2,3.8,1.8,2,80,45,3.7,45,634.1,,,,7,1000,0.08,0.1,0.7,50,70
690,DR083,"Gambas (oyong),
segar",DABM-1964,sayuran,single,94.5,19,0.8,0.2,4.1,1.3,0.4,19,33,0.9,23,109.1,0,0.1,,17,380,0.03,0,0.4,8,85
691,DR084,"Genjer, segar",DABM-1964,sayuran,single,90,35,1.7,0.2,7.7,2.5,0.4,62,33,2.1,64,905.8,,,,,3800,0.07,0.1,1.1,54,70
692,DR085,"Jagung muda / semi,
segar",DABM-1964,sayuran,single,89.5,35,2.2,0.1,7.4,1.9,0.8,7,100,0.5,353,230.2,0.1,0.8,0,23,200,0.08,0.16,0.9,8,100
693,DR086,Jamur encik,KZGMI-2001,sayuran,single,24.8,296,9.4,1.1,62,,2.7,5,277,5.3,2,0,0.2,3.1,,,,1.1,0.1,,,95
694,DR087,"Jamur kuping, kering",DABM-1964,sayuran,single,14.9,294,16,0.9,64.6,46.5,3.6,51,223,6.7,174,726.1,0.29,5.5,0,11,0,0.11,0.6,2.7,0,100
695,DR088,"Jamur kuping, segar",DABM-1964,sayuran,single,93.7,21,3.8,0.6,0.9,5.1,1,3,94,1.7,17,33.4,0.19,0.1,0,1,0,0.1,0.09,0.1,5,100
696,DR089,"Jamur merang, segar",BKP,sayuran,single,91.5,30,3.5,0.2,4,2.4,0.8,14,117,1,6,300,0.3,0.8,,0,0,0.02,0.2,0.5,0,100
697,DR090,"Jamur tiram, segar",BKP,sayuran,single,92.5,30,1.9,0.1,5.5,3.6,0.6,9,83,0.7,22,226,0,0.8,,0,0,0.3,0.2,1,0,100
698,DR091,Jamur sagu,KZGMI-2001,sayuran,single,91.3,48,1.9,3.2,2.8,1,0.8,10,90,0.6,100,440,0.6,0.6,,0,,0.2,0.2,6.5,,95
699,DR092,"Jantung pisang, segar",DABM-1964,sayuran,single,90.2,32,1.2,0.3,7.1,3.2,1.2,30,50,0.1,3,524,0.09,0.3,0,201,170,0.05,0.03,0.8,10,25
700,DR093,"Jengkol, segar",KZGMI-2001,sayuran,single,52.7,192,5.4,0.3,40.7,1.5,0.9,4,150,0.7,60,241,0.3,0.6,,,,0.05,0.2,0.5,31,95
701,DR094,"Jotang, segar",DABM-1964,sayuran,single,89,34,1.9,0.3,7.1,3.5,1.7,162,41,4,59,388.5,0.3,1.2,,2,3918,0.03,,0.4,20,70
702,DR095,"Kabau, segar",KZGMI-2001,sayuran,single,67.2,130,6.7,0.3,25.2,2.9,0.6,4,204,0.5,1,397.8,0.2,0.5,,165,,0.8,0.1,0.3,16,95
703,DR096,"Kacang mekah,
polong, segar",KZGPI-1990,sayuran,single,93.6,22,1.1,1,3.4,1.1,0.9,63,296,1,2,69.2,0.3,,0,197,116,0.02,,0.4,0,91
704,DR097,"Kacang panjang, segar",KZGMI-2001,sayuran,single,91.8,31,2.3,0.1,5.3,2.7,0.5,60,64,0.6,30,213,0.1,0.5,0,125,,0.7,0.1,0.3,46,92
705,DR098,Kacang ranti polong,KZGPI-1990,sayuran,single,88.5,37,3.1,0.2,7.9,2.5,0.3,103,126,0.8,,,,,,,2312,0.02,,,6,83
706,DR099,"Kalakai, segar",KZGMI-2001,sayuran,single,89.9,38,2.4,0.2,6.6,5.8,0.9,18,90,1.1,7,443,0.4,0.9,,44,,0.3,0.1,,8,70
707,DR100,"Kangkung, segar",KZGPI-1990,sayuran,single,91,28,3.4,0.7,3.9,2,1,67,54,2.3,65,250.1,0.13,0.4,,2868,5542,0.07,0.36,2,17,60
