,KODE,NAMA BAHAN,SUMBER,Food Group,Type,AIR (g),ENERGI (Kal),PROTEIN (g),LEMAK (g),KH (g),SERAT (g),ABU (g),KALSIUM (mg),FOSFOR (mg),BESI (mg),NATRIUM (mg),KALIUM (mg),TEMBAGA(mg),SENG (mg),RETINOL (mcg),B-KAR (mcg),KAR -TOTAL (mcg),THIAMIN (mg),RIBOFLAVIN (mg),NIASIN (mg),VIT_C (mg),Unnamed: 24
185,ER047,"Kemang, segar",DABM-1964,buah,single,86.5,48.0,1.0,0.2,11.9,1.7,0.4,10.0,24.0,0.1,2.0,88.6,0.0,0.1,,318.0,6.0,0.08,0.01,0.3,58,65.0
186,ER048,"Kesemek, segar",DABM-1964,buah,single,78.2,78.0,0.8,0.4,20.0,0.6,0.6,6.0,26.0,0.3,0.0,34.5,0.1,0.1,,109.0,2710.0,0.05,0.0,0.1,11,97.0
187,ER049,"Kokosan, segar",DABM-1964,buah,single,85.0,86.0,1.6,0.2,13.0,1.4,0.2,22.0,38.0,1.3,2.0,118.3,0.1,0.2,,0.0,20.0,0.04,0.04,1.5,3,64.0
188,ER050,"Kranji, segar",KZGPI- 1990,buah,single,20.1,315.0,2.1,1.4,73.5,3.6,2.9,160.0,120.0,3.7,,,,,,,,0.02,,,,31.0
189,ER051,"Langsat, segar",DABM-1964,buah,single,84.1,56.0,0.9,0.2,14.3,1.4,0.5,17.0,24.0,1.1,1.0,232.0,0.1,0.2,,,0.0,0.07,0.0,0.8,9,64.0
190,ER052,"Lemon, segar",KZGMI-2001,buah,single,92.2,34.0,0.5,0.8,6.2,0.1,0.3,23.0,20.0,0.3,31.0,140.0,0.1,0.2,,0.0,,0.09,0.12,0.3,50,100.0
191,ER053,"Lontar, segar",KZGPI- 1990,buah,single,93.0,27.0,0.4,0.2,6.0,1.6,0.4,91.0,243.0,0.5,,,,,,,,0.03,,,,79.0
192,ER054,"Mangga, segar",KZGMI-2001,buah,single,86.6,52.0,0.7,0,12.3,1.6,0.2,20.0,16.0,1.0,3.0,140.0,0.3,0.0,,316.0,,0.03,0.01,0.3,12,65.0
193,ER055,"Mangga benggala,
segar",KZGMI-2001,buah,single,84.4,63.0,2.4,0.4,12.4,5.8,0.4,9.0,13.0,0.2,3.0,79.0,0.1,0.1,,10.0,,0.18,0.01,0.4,43,65.0
194,ER056,"Mangga gedung, segar",DABM-1964,buah,single,87.4,44.0,0.7,0.2,11.2,1.6,0.5,13.0,10.0,0.2,2.0,83.6,0.0,0.1,,113.0,16400.0,0.08,0.01,0.3,30,65.0
